Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
101037850,ANPEP,"alanyl aminopeptidase, membrane",Saimiri boliviensis,Bolivian squirrel monkey,XM_003921617.2,XP_003921666.1,10176184,model,,default-seq
101104860,ANPEP,"alanyl aminopeptidase, membrane",Ovis aries,sheep,XM_015101888.2,XP_014957374.2,10176184,model,,default-seq
101149005,ANPEP,"alanyl aminopeptidase, membrane",Gorilla gorilla,western gorilla,XM_019010765.1,XP_018866310.1,10176184,model,,default-seq
101276539,ANPEP,"alanyl aminopeptidase, membrane",Orcinus orca,killer whale,XM_004278382.1,XP_004278430.1,10176184,model,,default-seq
101323895,ANPEP,"alanyl aminopeptidase, membrane",Tursiops truncatus,common bottlenose dolphin,XM_019945610.1,XP_019801169.1,10570664,model,,default-seq
101352760,LOC101352760,"alanyl aminopeptidase, membrane",Trichechus manatus latirostris,Florida manatee,XM_023725736.1,XP_023581504.1,10176184,model,,default-seq
101377292,ANPEP,"alanyl aminopeptidase, membrane",Odobenus rosmarus divergens,Pacific walrus,XM_004398299.2,XP_004398356.1,10176184,model,,default-seq
101403675,LOC101403675,"alanyl aminopeptidase, membrane",Ceratotherium simum simum,southern white rhinoceros,XM_004431947.2,XP_004432004.1,10176184,model,,default-seq
101433954,ANPEP,"alanyl aminopeptidase, membrane",Dasypus novemcinctus,nine-banded armadillo,XM_004468904.3,XP_004468961.1,13340761,model,,default-seq
101536306,ANPEP,"alanyl aminopeptidase, membrane",Ochotona princeps,American pika,XM_012929098.1,XP_012784552.1,10176184,model,,default-seq
101545346,ANPEP,"alanyl aminopeptidase, membrane",Sorex araneus,European shrew,XM_004617512.1,XP_004617569.1,10176184,model,,default-seq
101563833,Anpep,"alanyl aminopeptidase, membrane",Octodon degus,degu,XM_023710360.1,XP_023566128.1,10176184,model,,default-seq
101600232,Anpep,"alanyl aminopeptidase, membrane",Jaculus jaculus,lesser Egyptian jerboa,XM_004658187.1,XP_004658244.1,10176184,model,,default-seq
101634574,ANPEP,"alanyl aminopeptidase, membrane",Condylura cristata,star-nosed mole,XM_012732683.1,XP_012588137.1,10176184,model,,default-seq
101640699,ANPEP,"alanyl aminopeptidase, membrane",Echinops telfairi,small Madagascar hedgehog,XM_013006477.1,XP_012861931.1,10176184,model,,default-seq
101682821,ANPEP,"alanyl aminopeptidase, membrane",Mustela putorius furo,domestic ferret,XM_013062009.1,XP_012917463.1,10176184,model,,default-seq
101706035,Anpep,"alanyl aminopeptidase, membrane",Heterocephalus glaber,naked mole-rat,XM_004852775.3,XP_004852832.1,10176184,model,,default-seq
101825331,Anpep,"alanyl aminopeptidase, membrane",Mesocricetus auratus,golden hamster,XM_005077792.3,XP_005077849.1,10176184,model,,default-seq
101972738,Anpep,"alanyl aminopeptidase, membrane",Ictidomys tridecemlineatus,thirteen-lined ground squirrel,XM_005320140.3,XP_005320197.1,10176184,model,,default-seq
101993543,Anpep,"alanyl aminopeptidase, membrane",Microtus ochrogaster,prairie vole,XM_005357713.3,XP_005357770.1,10176184,model,,default-seq
102025000,Anpep,"alanyl aminopeptidase, membrane",Chinchilla lanigera,long-tailed chinchilla,XM_005381541.1,XP_005381598.1,10176184,model,,default-seq
102115663,ANPEP,"alanyl aminopeptidase, membrane",Macaca fascicularis,crab-eating macaque,XM_005560495.2,XP_005560552.1,10176184,model,,default-seq
102185784,ANPEP,"alanyl aminopeptidase, membrane",Capra hircus,goat,XM_005695031.3,XP_005695088.3,10176184,model,,default-seq
102239807,ANPEP,"alanyl aminopeptidase, membrane",Myotis brandtii,Brandt's bat,XM_005885203.2,XP_005885265.1,10176184,model,,default-seq
102286569,ANPEP,"alanyl aminopeptidase, membrane",Bos mutus,wild yak,XM_005895148.2,XP_005895210.1,10176184,model,,default-seq
102407424,ANPEP,"alanyl aminopeptidase, membrane",Bubalus bubalis,water buffalo,XM_025270967.1,XP_025126752.1,10176184,model,,default-seq
102436138,ANPEP,"alanyl aminopeptidase, membrane",Myotis lucifugus,little brown bat,XM_014449102.2,XP_014304588.1,10176184,model,,default-seq
102497415,ANPEP,"alanyl aminopeptidase, membrane",Tupaia chinensis,Chinese tree shrew,XM_006152812.2,XP_006152874.1,10176184,model,,default-seq
102509062,ANPEP,"alanyl aminopeptidase, membrane",Camelus ferus,Wild Bactrian camel,XM_006192578.3,XP_006192640.2,,model,,default-seq
102524836,ANPEP,"alanyl aminopeptidase, membrane",Vicugna pacos,alpaca,XM_006198453.3,XP_006198515.1,10176184,model,,default-seq
102731693,ANPEP,"alanyl aminopeptidase, membrane",Leptonychotes weddellii,Weddell seal,XM_006740692.2,XP_006740755.1,10176184,model,,default-seq
102755558,ANPEP,"alanyl aminopeptidase, membrane",Myotis davidii,,XM_015563233.1,XP_015418719.1,10176184,model,,default-seq
102827539,ANPEP,"alanyl aminopeptidase, membrane",Chrysochloris asiatica,Cape golden mole,XM_006867178.1,XP_006867240.1,10176184,model,,default-seq
102844725,ANPEP,"alanyl aminopeptidase, membrane",Elephantulus edwardii,Cape elephant shrew,XM_006885220.1,XP_006885282.1,10176184,model,,default-seq
102882606,ANPEP,"alanyl aminopeptidase, membrane",Pteropus alecto,black flying fox,XM_006905350.3,XP_006905412.1,10176184,model,,default-seq
102917991,Anpep,"alanyl aminopeptidase, membrane",Peromyscus maniculatus bairdii,prairie deer mouse,XM_015993499.1,XP_015848985.1,10176184,model,,default-seq
102962318,ANPEP,"alanyl aminopeptidase, membrane",Panthera tigris altaica,Amur tiger,XM_015535737.1,XP_015391223.1,10176184,model,,default-seq
102974845,ANPEP,"alanyl aminopeptidase, membrane",Physeter catodon,sperm whale,XM_028495745.1,XP_028351546.1,10176184,model,,default-seq
103005236,ANPEP,"alanyl aminopeptidase, membrane",Balaenoptera acutorostrata scammoni,,XM_028162010.1,XP_028017811.1,10176184,model,,default-seq
103069446,ANPEP,"alanyl aminopeptidase, membrane",Lipotes vexillifer,Yangtze River dolphin,XM_007470527.1,XP_007470589.1,10176184,model,,default-seq
103107540,ANPEP,"alanyl aminopeptidase, membrane",Erinaceus europaeus,western European hedgehog,XM_007516375.2,XP_007516437.1,10176184,model,,default-seq
103200624,ANPEP,"alanyl aminopeptidase, membrane",Orycteropus afer afer,,XM_007945168.1,XP_007943359.1,10176184,model,,default-seq
103231162,ANPEP,"alanyl aminopeptidase, membrane",Chlorocebus sabaeus,green monkey,XM_007990379.1,XP_007988570.1,10176184,model,,default-seq
103273198,ANPEP,"alanyl aminopeptidase, membrane",Carlito syrichta,Philippine tarsier,XM_008070627.2,XP_008068818.1,10176184,model,,default-seq
103304387,ANPEP,"alanyl aminopeptidase, membrane",Eptesicus fuscus,big brown bat,XM_028138636.1,XP_027994437.1,10176184,model,,default-seq
103543796,ANPEP,"alanyl aminopeptidase, membrane",Equus przewalskii,Przewalski's horse,XM_008510643.1,XP_008508865.1,10176184,model,,default-seq
103581505,ANPEP,"alanyl aminopeptidase, membrane",Galeopterus variegatus,Sunda flying lemur,XM_008563349.1,XP_008561571.1,10176184,model,,default-seq
103660259,ANPEP,"alanyl aminopeptidase, membrane",Ursus maritimus,polar bear,XM_008687846.1,XP_008686068.1,10176184,model,,default-seq
103749902,Anpep,"alanyl aminopeptidase, membrane",Nannospalax galili,Upper Galilee mountains blind mole rat,XM_008852807.3,XP_008851029.1,10176184,model,,default-seq
104674342,ANPEP,"alanyl aminopeptidase, membrane",Rhinopithecus roxellana,golden snub-nosed monkey,XM_010378622.2,XP_010376924.2,,model,,default-seq
104860069,Anpep,"alanyl aminopeptidase, membrane",Fukomys damarensis,Damara mole-rat,XM_010621069.1,XP_010619371.1,10176184,model,,default-seq
104989383,ANPEP,"alanyl aminopeptidase, membrane",Bison bison bison,,XM_010841037.1,XP_010839339.1,10176184,model,,default-seq
105069244,ANPEP,"alanyl aminopeptidase, membrane",Camelus bactrianus,Bactrian camel,XM_010955343.1,XP_010953645.1,10176184,model,,default-seq
105094678,ANPEP,"alanyl aminopeptidase, membrane",Camelus dromedarius,Arabian camel,XM_031440563.1,XP_031296423.1,,model,,default-seq
105305185,ANPEP,"alanyl aminopeptidase, membrane",Pteropus vampyrus,large flying fox,XM_011379650.2,XP_011377952.1,10176184,model,,default-seq
105488318,ANPEP,"alanyl aminopeptidase, membrane",Macaca nemestrina,pig-tailed macaque,XM_011752243.2,XP_011750545.1,10176184,model,,default-seq
105516203,ANPEP,"alanyl aminopeptidase, membrane",Colobus angolensis palliatus,,XM_011948303.1,XP_011803693.1,10176184,model,,default-seq
105544069,ANPEP,"alanyl aminopeptidase, membrane",Mandrillus leucophaeus,drill,XM_011986333.1,XP_011841723.1,10176184,model,,default-seq
105592393,ANPEP,"alanyl aminopeptidase, membrane",Cercocebus atys,sooty mangabey,XM_012074347.1,XP_011929737.1,10176184,model,,default-seq
105724956,ANPEP,"alanyl aminopeptidase, membrane",Aotus nancymaae,Ma's night monkey,XM_012463856.2,XP_012319279.1,10176184,model,,default-seq
105809882,ANPEP,"alanyl aminopeptidase, membrane",Propithecus coquereli,Coquerel's sifaka,XM_012643775.1,XP_012499229.1,10176184,model,,default-seq
105870614,ANPEP,"alanyl aminopeptidase, membrane",Microcebus murinus,gray mouse lemur,XM_020289100.1,XP_020144689.1,10176184,model,,default-seq
105982298,Anpep,"alanyl aminopeptidase, membrane",Dipodomys ordii,Ord's kangaroo rat,XM_013011870.1,XP_012867324.1,10176184,model,,default-seq
106831985,ANPEP,"alanyl aminopeptidase, membrane",Equus asinus,ass,XM_014842492.1,XP_014697978.1,10176184,model,,default-seq
106965927,ANPEP,"alanyl aminopeptidase, membrane",Acinonyx jubatus,cheetah,XM_027068068.1,XP_026923869.1,10176184,model,,default-seq
107148428,Anpep,"alanyl aminopeptidase, membrane",Marmota marmota marmota,Alpine marmot,XM_015493071.1,XP_015348557.1,10176184,model,,default-seq
107514149,ANPEP,"alanyl aminopeptidase, membrane",Rousettus aegyptiacus,Egyptian rousette,XM_016151569.1,XP_016007055.1,10176184,model,,default-seq
107540404,ANPEP,"alanyl aminopeptidase, membrane",Miniopterus natalensis,,XM_016217165.1,XP_016072651.1,10176184,model,,default-seq
107968418,ANPEP,"alanyl aminopeptidase, membrane",Pan troglodytes,chimpanzee,XM_016927410.2,XP_016782899.1,10176184,model,,default-seq
108295266,ANPEP,"alanyl aminopeptidase, membrane",Cebus capucinus imitator,,XM_017517339.1,XP_017372828.1,10176184,model,,default-seq
108391657,ANPEP,"alanyl aminopeptidase, membrane",Manis javanica,Malayan pangolin,XM_017651365.1,XP_017506854.1,10176184,model,,default-seq
108521413,ANPEP,"alanyl aminopeptidase, membrane",Rhinopithecus bieti,black snub-nosed monkey,XM_017861230.1,XP_017716719.1,13553914,model,,default-seq
109273443,ANPEP,"alanyl aminopeptidase, membrane",Panthera pardus,leopard,XM_019460256.1,XP_019315801.1,10176184,model,,default-seq
109381406,ANPEP,"alanyl aminopeptidase, membrane",Hipposideros armiger,great roundleaf bat,XM_019640007.1,XP_019495552.1,10176184,model,,default-seq
109575620,ANPEP,"alanyl aminopeptidase, membrane",Bos indicus,zebu cattle,XM_019983867.1,XP_019839426.1,10176184,model,,default-seq
109697521,Anpep,"alanyl aminopeptidase, membrane",Castor canadensis,American beaver,XM_020181178.1,XP_020036767.1,10176184,model,,default-seq
110147689,ANPEP,"alanyl aminopeptidase, membrane",Odocoileus virginianus texanus,,XM_020909345.1,XP_020765004.1,10176184,model,,default-seq
110193396,ANPEP,"alanyl aminopeptidase, membrane",Phascolarctos cinereus,koala,XM_020965156.1,XP_020820815.1,10176184,model,,default-seq
110298616,Anpep,"alanyl aminopeptidase, membrane",Mus caroli,Ryukyu mouse,XM_029479882.1,XP_029335742.1,,model,,default-seq
110328996,Anpep,"alanyl aminopeptidase, membrane",Mus pahari,shrew mouse,XM_029533115.1,XP_029388975.1,,model,,default-seq
110562226,Anpep,"alanyl aminopeptidase, membrane",Meriones unguiculatus,Mongolian gerbil,XM_021658931.1,XP_021514606.1,10176184,model,,default-seq
110572294,ANPEP,"alanyl aminopeptidase, membrane",Neomonachus schauinslandi,Hawaiian monk seal,XM_021680542.1,XP_021536217.1,10176184,model,,default-seq
111152611,LOC111152611,"alanyl aminopeptidase, membrane",Enhydra lutris kenyoni,,XM_022511137.1,XP_022366845.1,10176184,model,,default-seq
111169657,ANPEP,"alanyl aminopeptidase, membrane",Delphinapterus leucas,beluga whale,XM_022564020.2,XP_022419728.1,10176184,model,,default-seq
111522928,ANPEP,"alanyl aminopeptidase, membrane",Piliocolobus tephrosceles,Ugandan red Colobus,XM_023187229.1,XP_023042997.1,11393525,model,,default-seq
112305894,ANPEP,"alanyl aminopeptidase, membrane",Desmodus rotundus,common vampire bat,XM_024561657.1,XP_024417425.1,10176184,model,,default-seq
112414198,ANPEP,"alanyl aminopeptidase, membrane",Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,XM_024766515.1,XP_024622283.1,10176184,model,,default-seq
112628927,ANPEP,"alanyl aminopeptidase, membrane",Theropithecus gelada,gelada,XM_025392256.1,XP_025248041.1,10176184,model,,default-seq
112653425,ANPEP,"alanyl aminopeptidase, membrane",Canis lupus dingo,dingo,XM_025437577.1,XP_025293362.1,10176184,model,,default-seq
112839947,ANPEP,"alanyl aminopeptidase, membrane",Callorhinus ursinus,northern fur seal,XM_025893111.1,XP_025748896.1,10176184,model,,default-seq
112855456,ANPEP,"alanyl aminopeptidase, membrane",Puma concolor,puma,XM_025919122.1,XP_025774907.1,10176184,model,,default-seq
112921640,ANPEP,"alanyl aminopeptidase, membrane",Vulpes vulpes,red fox,XM_026000983.1,XP_025856768.1,10176184,model,,default-seq
113182310,Anpep,"alanyl aminopeptidase, membrane",Urocitellus parryii,Arctic ground squirrel,XM_026388146.1,XP_026243931.1,10176184,model,,default-seq
113263695,ANPEP,"alanyl aminopeptidase, membrane",Ursus arctos horribilis,,XM_026510470.1,XP_026366255.1,10176184,model,,default-seq
113610820,ANPEP,"alanyl aminopeptidase, membrane",Lagenorhynchus obliquidens,Pacific white-sided dolphin,XM_027089235.1,XP_026945036.1,10176184,model,,default-seq
113879638,ANPEP,"alanyl aminopeptidase, membrane",Bos indicus x Bos taurus,hybrid cattle,XM_027521250.1,XP_027377051.1,10176184,model,,default-seq
113910569,ANPEP,"alanyl aminopeptidase, membrane",Zalophus californianus,California sea lion,XM_027572890.1,XP_027428691.1,10176184,model,,default-seq
114035334,ANPEP,"alanyl aminopeptidase, membrane",Vombatus ursinus,common wombat,XM_027851395.1,XP_027707196.1,10176184,model,,default-seq
114078729,Anpep,"alanyl aminopeptidase, membrane",Marmota flaviventris,yellow-bellied marmot,XM_027919789.1,XP_027775590.1,10176184,model,,default-seq
114223310,ANPEP,"alanyl aminopeptidase, membrane",Eumetopias jubatus,Steller sea lion,XM_028122211.1,XP_027978012.1,10176184,model,,default-seq
114488677,ANPEP,"alanyl aminopeptidase, membrane",Phyllostomus discolor,pale spear-nosed bat,XM_028502438.1,XP_028358239.1,10176184,model,,default-seq
114610289,Anpep,"alanyl aminopeptidase, membrane",Grammomys surdaster,,XM_028754807.1,XP_028610640.1,10176184,model,,default-seq
114696172,Anpep,"alanyl aminopeptidase, membrane",Peromyscus leucopus,white-footed mouse,XM_028873728.1,XP_028729561.1,10176184,model,,default-seq
114904970,ANPEP,"alanyl aminopeptidase, membrane",Monodon monoceros,narwhal,XM_029239412.1,XP_029095245.1,10176184,model,,default-seq
115302119,ANPEP,"alanyl aminopeptidase, membrane",Suricata suricatta,meerkat,XM_029952120.1,XP_029807980.1,,model,,default-seq
115516265,ANPEP,"alanyl aminopeptidase, membrane",Lynx canadensis,Canada lynx,XM_030318738.1,XP_030174598.1,,model,,default-seq
115864674,ANPEP,"alanyl aminopeptidase, membrane",Globicephala melas,long-finned pilot whale,XM_030878634.1,XP_030734494.1,,model,,default-seq
116102445,Anpep,"alanyl aminopeptidase, membrane",Mastomys coucha,southern multimammate mouse,XM_031387085.1,XP_031242945.1,,model,,default-seq
116482300,ANPEP,"alanyl aminopeptidase, membrane",Hylobates moloch,silvery gibbon,XM_032175640.1,XP_032031531.1,,model,,default-seq
116540332,ANPEP,"alanyl aminopeptidase, membrane",Sapajus apella,Tufted capuchin,XM_032263816.1,XP_032119707.1,,model,,default-seq
116592005,ANPEP,"alanyl aminopeptidase, membrane",Mustela erminea,ermine,XM_032345502.1,XP_032201393.1,,model,,default-seq
116624269,ANPEP,"alanyl aminopeptidase, membrane",Phoca vitulina,harbor seal,XM_032392043.1,XP_032247934.1,,model,,default-seq
