"","genus","virus","accession","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"20","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT026454.1",0.00323,0.98124,0.00143,8e-05,0.00016,0.00138,0.00792,0.00455
"21","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG912602.1",0.02335,0.87452,0.00746,0.0016,0.00223,0.0146,0.06132,0.01492
"22","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KP209311.1",0.03028,0.84287,0.00922,0.00222,0.00351,0.01656,0.07792,0.01741
"23","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT121575.1",0.02958,0.80338,0.01259,0.00188,0.00355,0.01826,0.10558,0.02518
"24","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KP209309.1",0.02376,0.88628,0.00628,0.00204,0.00173,0.01602,0.05408,0.00981
"25","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","NC_019843.3",0.02952,0.83089,0.01267,0.002,0.00299,0.01653,0.08015,0.02526
"26","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG011351.2",0.02504,0.8661,0.00938,0.00219,0.00265,0.01263,0.06428,0.01772
"27","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MN365232.1",0.00939,0.92044,0.00669,0.00029,0.00241,0.00565,0.03779,0.01734
"28","Betacoronavirus","SARS coronavirus HKU-39849","GU553363.1",0.01231,0.00079,0.67444,0.00059,0.00139,0.00273,0.03085,0.2769
"29","Betacoronavirus","SARS coronavirus HKU-39849","GU553364.1",0.01231,0.00079,0.67444,0.00059,0.00139,0.00273,0.03085,0.2769
"30","Betacoronavirus","SARS coronavirus P2","FJ882963.1",0.01367,0.00093,0.6785,0.00067,0.00142,0.00296,0.02989,0.27197
"31","Betacoronavirus","Severe acute respiratory syndrome-related coronavirus","AY274119.3",0.01405,0.00145,0.7241,0.00084,0.00206,0.00309,0.02736,0.22707
"32","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT276323.1",0.11509,0.01074,0.17024,0.02716,0.00165,0.06572,0.07359,0.53581
"33","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT293167.1",0.115,0.01078,0.1711,0.02716,0.00162,0.066,0.07338,0.53495
"34","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT344959.1",0.11418,0.01078,0.17108,0.02718,0.00163,0.06607,0.07352,0.53556
"35","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT345833.1",0.11561,0.0105,0.17068,0.02741,0.00167,0.06678,0.07369,0.53367
"36","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT263395.1",0.11469,0.01077,0.17103,0.02719,0.00162,0.066,0.07358,0.5351
"37","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT304480.1",0.11585,0.01056,0.16936,0.02708,0.00168,0.06602,0.07336,0.53609
"38","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT263434.1",0.11063,0.01067,0.17748,0.02683,0.00156,0.06462,0.07247,0.53573
"39","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT325617.1",0.11058,0.01064,0.17749,0.02678,0.00156,0.06423,0.07254,0.53617
"40","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT259237.1",0.11164,0.01092,0.17668,0.02688,0.00154,0.06499,0.073,0.53435
"41","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT159715.1",0.11092,0.01086,0.17703,0.02685,0.00153,0.06475,0.07307,0.53499
"42","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT325629.1",0.11154,0.01086,0.17676,0.02686,0.00153,0.06462,0.07323,0.5346
"43","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT326067.1",0.1104,0.01063,0.17685,0.0268,0.00155,0.06419,0.07259,0.53699
"44","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT293187.1",0.11051,0.01064,0.1773,0.02681,0.00156,0.06435,0.07262,0.53621
"45","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT326154.1",0.11219,0.01057,0.17663,0.02621,0.00155,0.0608,0.07273,0.53933
"46","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT293179.1",0.11091,0.01087,0.17558,0.02686,0.00153,0.06466,0.07324,0.53636
"47","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT253710.1",0.11149,0.01092,0.17609,0.02689,0.00154,0.06479,0.07325,0.53503
"48","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT135043.1",0.11127,0.01086,0.17659,0.02686,0.00153,0.06444,0.07327,0.53518
"49","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT293172.1",0.11145,0.01085,0.17645,0.02687,0.00153,0.06504,0.07328,0.53452
"50","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT184911.1",0.11136,0.01089,0.17762,0.02662,0.00154,0.0645,0.07257,0.5349
"51","Betacoronavirus","Severe acute respiratory syndrome coronavirus 2","MT159706.1",0.11051,0.01064,0.1773,0.02681,0.00156,0.06435,0.07262,0.53621
