"","genus","virus","accession","metadata_host","host_category","prediction","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"19","unclassified","Houbara coronavirus UAE-HKU28","LC364343.1","Chlamydotis","bird","bird",0.72588,0.00657,0.09162,0.0029,0.01822,0.044,0.04323,0.06758
"20","Gammacoronavirus","Infectious bronchitis virus","MH539772.1","Gallus gallus","bird","bird",0.64157,0.03627,0.06055,0.02843,0.02602,0.03101,0.09164,0.08452
"21","Gammacoronavirus","Infectious bronchitis virus","KF668605.1","Gallus gallus","bird","bird",0.3823,0.08913,0.15235,0.03698,0.03669,0.0875,0.11209,0.10296
"22","Gammacoronavirus","Infectious bronchitis virus","KX185059.1","Gallus gallus","bird","bird",0.41871,0.03157,0.08936,0.05585,0.04641,0.08047,0.16243,0.1152
"23","Gammacoronavirus","Infectious bronchitis virus","MK032178.1","Gallus","bird","bird",0.57062,0.02813,0.06875,0.03083,0.03636,0.0274,0.13494,0.10297
"24","Gammacoronavirus","Infectious bronchitis virus","MK510447.1","chicken","bird","bird",0.53856,0.03536,0.09625,0.04071,0.03864,0.08097,0.10754,0.06196
"25","Gammacoronavirus","Infectious bronchitis virus","KX434789.1","Gallus gallus","bird","bird",0.62536,0.01661,0.09295,0.0413,0.0269,0.03034,0.09125,0.07528
"26","Gammacoronavirus","Infectious bronchitis virus","MK510430.1","chicken","bird","bird",0.51828,0.03901,0.09073,0.05453,0.03607,0.06969,0.10617,0.08551
"27","Gammacoronavirus","Infectious bronchitis virus","KX219795.1","Gallus gallus","bird","bird",0.50742,0.02112,0.08224,0.04011,0.03821,0.06714,0.13221,0.11155
"28","Gammacoronavirus","Infectious bronchitis virus","KX259255.1","Gallus gallus","bird","bird",0.67363,0.01719,0.06342,0.04054,0.02818,0.05565,0.07707,0.04432
"29","Gammacoronavirus","Infectious bronchitis virus","JQ920384.1","Gallus gallus","bird","bird",0.74994,0.01529,0.05261,0.05907,0.01685,0.02097,0.04804,0.03722
"30","Gammacoronavirus","Infectious bronchitis virus","JQ920392.1","Gallus gallus","bird","bird",0.73175,0.01474,0.03322,0.07459,0.01775,0.02499,0.05012,0.05284
"31","Gammacoronavirus","Infectious bronchitis virus","KX266757.1","Gallus gallus","bird","bird",0.53397,0.0167,0.08246,0.02242,0.02721,0.03389,0.13274,0.15061
"32","Gammacoronavirus","Infectious bronchitis virus","KX236009.1","Gallus gallus","bird","bird",0.63278,0.01852,0.06411,0.03322,0.02736,0.06375,0.0883,0.07197
"33","Gammacoronavirus","Infectious bronchitis virus","GQ504722.1","chicken","bird","bird",0.65008,0.02619,0.08914,0.01351,0.02859,0.03005,0.07417,0.08827
"34","Gammacoronavirus","Infectious bronchitis virus","KX236016.1","Gallus gallus","bird","bird",0.69881,0.02441,0.05819,0.02665,0.02802,0.05868,0.06017,0.04508
"35","Gammacoronavirus","Infectious bronchitis virus","KX364299.1","Gallus gallus","bird","bird",0.53768,0.02662,0.08095,0.05049,0.03874,0.07939,0.11014,0.07599
"36","Gammacoronavirus","Infectious bronchitis virus","KP790143.1","Gallus gallus","bird","bird",0.57616,0.03694,0.05574,0.03916,0.02439,0.04551,0.10527,0.11683
"37","Gammacoronavirus","Infectious bronchitis virus","MN128087.1","chicken","bird","bird",0.44017,0.02304,0.07383,0.04163,0.03323,0.05189,0.15341,0.18281
"38","Gammacoronavirus","Infectious bronchitis virus","JQ920400.1","Gallus gallus","bird","bird",0.54274,0.03107,0.08242,0.04515,0.03506,0.08118,0.11605,0.06633
"39","Gammacoronavirus","Infectious bronchitis virus","KY992863.1","chicken","bird","bird",0.35781,0.02291,0.18904,0.01901,0.04189,0.09435,0.12387,0.15112
"40","Deltacoronavirus","Magpie-robin coronavirus HKU18","NC_016993.1","magpie-robin","bird","bird",0.43207,0.01633,0.04882,0.00325,0.07622,0.15453,0.15648,0.1123
"41","Deltacoronavirus","Magpie-robin coronavirus HKU18","JQ065046.1","magpie-robin","bird","bird",0.43207,0.01633,0.04882,0.00325,0.07622,0.15453,0.15648,0.1123
"42","Deltacoronavirus","Munia coronavirus HKU13-3514","NC_011550.1","white-rumped munia","bird","bird",0.50763,0.02813,0.04007,0.0031,0.03777,0.17988,0.11008,0.09333
"43","Deltacoronavirus","Munia coronavirus HKU13-3514","FJ376622.1","white-rumped munia","bird","bird",0.50763,0.02813,0.04007,0.0031,0.03777,0.17988,0.11008,0.09333
"44","Deltacoronavirus","Night heron coronavirus HKU19","NC_016994.1","night-heron","bird","bird",0.54882,0.00353,0.09208,0.007,0.0582,0.0498,0.06435,0.17622
"45","Deltacoronavirus","Night heron coronavirus HKU19","JQ065047.1","night-heron","bird","bird",0.54882,0.00353,0.09208,0.007,0.0582,0.0498,0.06435,0.17622
"46","Gammacoronavirus","Pheasant coronavirus","MK423877.1","Pheasant","bird","bird",0.8768,0.0145,0.02677,0.02916,0.00798,0.01272,0.01386,0.01822
"47","Gammacoronavirus","Pheasant coronavirus","MK423876.1","Pheasant","bird","bird",0.87013,0.01524,0.03088,0.02913,0.00779,0.0151,0.01332,0.0184
"48","unclassified","Pigeon coronavirus UAE-HKU29","LC364344.1","Columbidae","bird","bird",0.72862,0.00223,0.0769,0.00135,0.01625,0.06458,0.03973,0.07033
"49","Deltacoronavirus","Porcine deltacoronavirus","MK248485.1","chicken","bird","swine",0.04583,0.00285,0.01048,6e-04,0.00748,0.89965,0.01537,0.01775
"50","Deltacoronavirus","Porcine deltacoronavirus","MN173808.1","pig","swine","swine",0.15586,0.00227,0.03041,0.00277,0.02352,0.66168,0.06491,0.05859
"51","Deltacoronavirus","Porcine deltacoronavirus","KY354363.1","porcine","swine","swine",0.05883,0.00226,0.01811,0.00242,0.00803,0.8582,0.02499,0.02716
"52","Deltacoronavirus","Porcine deltacoronavirus","MK478380.1","Sus scrofa","swine","swine",0.03274,0,0.00315,5e-04,0.00019,0.92775,0.01355,0.02212
"53","Deltacoronavirus","Porcine deltacoronavirus","KY065120.1","porcine","swine","swine",0.09365,0.0021,0.01587,0.00121,0.01273,0.80856,0.02676,0.03911
"54","Deltacoronavirus","Porcine deltacoronavirus","MK040448.1","pig","swine","swine",0.0824,0.00364,0.02332,0.00068,0.01224,0.80348,0.03104,0.0432
"55","Deltacoronavirus","Porcine deltacoronavirus","LC260042.1","Sus scrofa domesticus","swine","swine",0.00661,0,0.00104,0,9e-05,0.98722,0.00255,0.00248
"56","Deltacoronavirus","Porcine deltacoronavirus","KP757891.1","pig","swine","swine",0.05473,0.00265,0.01417,0.00269,0.01105,0.8659,0.02971,0.0191
"57","Deltacoronavirus","Porcine deltacoronavirus","KX534090.1","nursery pig","swine","swine",0.08747,0.00399,0.02604,0.00338,0.01363,0.74769,0.05303,0.06477
"58","Deltacoronavirus","Porcine deltacoronavirus","MK572803.1","Sus scrofa","swine","swine",0.08548,0.0017,0.02905,0.00225,0.01297,0.80989,0.03033,0.02832
"59","Deltacoronavirus","Porcine deltacoronavirus","KT371503.1","swine","swine","swine",0.031,0,0.00946,0,0.00336,0.9157,0.02284,0.01763
"60","Deltacoronavirus","Porcine deltacoronavirus","KX022604.1","pig","swine","swine",0.01143,0.00028,0.00417,0,0.0019,0.96672,0.00987,0.00563
"61","Deltacoronavirus","Porcine deltacoronavirus","KR265849.1","pig","swine","swine",0.0148,0.001,0.00822,5e-04,0.00144,0.95579,0.00896,0.0093
"62","Deltacoronavirus","Porcine deltacoronavirus","KY078907.1","swine","swine","swine",0.08063,9e-04,0.0179,0.00067,0.01509,0.81027,0.0345,0.04003
"63","Deltacoronavirus","Porcine deltacoronavirus","MK478382.1","Sus scrofa","swine","swine",0.04598,0,0.0101,0,0.00349,0.88391,0.03085,0.02567
"64","Deltacoronavirus","Porcine deltacoronavirus","MK040452.1","pig","swine","swine",0.09032,0.00364,0.02795,0.00068,0.01716,0.7822,0.03307,0.04498
"65","Deltacoronavirus","Porcine deltacoronavirus","KR150443.1","pig","swine","swine",0.00305,0,6e-04,0,0.00074,0.99105,0.00306,0.00149
"66","Deltacoronavirus","Porcine deltacoronavirus","MN173810.1","pig","swine","swine",0.11772,0.00281,0.03681,0.00353,0.01684,0.7076,0.06471,0.04997
"67","Deltacoronavirus","Porcine deltacoronavirus","KR265857.1","pig","swine","swine",0.00287,0,0.0022,0,0.00067,0.98607,0.00529,0.00291
"68","Deltacoronavirus","Porcine deltacoronavirus","KY078912.1","swine","swine","swine",0.09783,0.00798,0.03505,0.0041,0.01517,0.71915,0.05568,0.06503
"69","Deltacoronavirus","Porcine deltacoronavirus","KY078905.1","swine","swine","swine",0.09902,0.00246,0.02074,0.00216,0.01447,0.77255,0.04564,0.04296
"70","unclassified","Quail coronavirus UAE-HKU30","LC364346.1","Galliformes","bird","bird",0.49507,0.03098,0.10962,0.00542,0.04758,0.16338,0.06217,0.08578
"71","unclassified","Quail coronavirus UAE-HKU30","LC364345.1","Galliformes","bird","bird",0.48152,0.02817,0.13355,0.0062,0.06013,0.1358,0.074,0.08063
"72","Deltacoronavirus","Quail deltacoronavirus","MH532440.1","Coturnix japonica","bird","bird",0.50131,0.00901,0.10691,0.01475,0.05749,0.12172,0.09457,0.09424
"73","Deltacoronavirus","Sparrow coronavirus HKU17","NC_016992.1","sparrow","bird","bird",0.5188,0.00882,0.10778,0.00231,0.0337,0.06203,0.10373,0.16284
"74","Deltacoronavirus","Sparrow coronavirus HKU17","JQ065045.1","sparrow","bird","bird",0.5188,0.00882,0.10778,0.00231,0.0337,0.06203,0.10373,0.16284
"75","Deltacoronavirus","Sparrow deltacoronavirus","MG812378.1","sparrow","bird","bird",0.60255,0.00892,0.0401,0.003,0.01742,0.1938,0.05967,0.07455
"76","Deltacoronavirus","Sparrow deltacoronavirus","MG812377.1","sparrow","bird","bird",0.49775,0.00765,0.04365,0,0.02578,0.22187,0.09727,0.10603
"77","Deltacoronavirus","Sparrow deltacoronavirus","MG812376.1","sparrow","bird","bird",0.55298,0.00433,0.06347,0.0016,0.03615,0.19525,0.0711,0.07512
"78","Deltacoronavirus","Sparrow deltacoronavirus","MG812375.1","sparrow","bird","bird",0.54972,0.00253,0.06262,0.0016,0.03475,0.20373,0.06973,0.07532
"79","Deltacoronavirus","Thrush coronavirus HKU12-600","NC_011549.1","grey-backed thrush","bird","yinpterochiroptera",0.32011,0.02462,0.10023,0.01383,0.01356,0.03845,0.14423,0.34496
"80","Deltacoronavirus","Thrush coronavirus HKU12-600","FJ376621.1","grey-backed thrush","bird","yinpterochiroptera",0.32011,0.02462,0.10023,0.01383,0.01356,0.03845,0.14423,0.34496
"81","Gammacoronavirus","Turkey coronavirus","KF652220.1","Meleagris gallopavo","bird","bird",0.47059,0.03696,0.21445,0.02344,0.0448,0.05879,0.07106,0.0799
"82","Gammacoronavirus","Turkey coronavirus","GU213200.1","turkey","bird","bird",0.40132,0.06038,0.23078,0.02672,0.06925,0.07196,0.05737,0.08223
"83","Gammacoronavirus","Turkey coronavirus","GQ411201.1","turkey","bird","bird",0.55811,0.03142,0.08217,0.03395,0.05547,0.02754,0.10669,0.10466
"84","Gammacoronavirus","Turkey coronavirus","KF652238.1","Meleagris gallopavo","bird","bird",0.42168,0.0357,0.24365,0.03342,0.04157,0.06135,0.06353,0.0991
"85","Gammacoronavirus","Turkey coronavirus","KF652218.1","Meleagris gallopavo","bird","bird",0.47282,0.02837,0.2317,0.03181,0.03072,0.05664,0.06362,0.08432
"86","Gammacoronavirus","Turkey coronavirus","GQ427174.1","turkey","bird","bird",0.39494,0.05328,0.22707,0.02572,0.07495,0.08115,0.05502,0.08788
"87","Gammacoronavirus","Turkey coronavirus","GQ427173.1","turkey","bird","bird",0.35717,0.04874,0.24671,0.05274,0.06333,0.069,0.05945,0.10286
"88","Gammacoronavirus","Turkey coronavirus","EU095850.1","turkey","bird","bird",0.36712,0.04774,0.23972,0.05631,0.06003,0.069,0.05749,0.1026
"89","Gammacoronavirus","Turkey coronavirus","NC_010800.1","turkey","bird","bird",0.36712,0.04774,0.23972,0.05631,0.06003,0.069,0.05749,0.1026
"90","Gammacoronavirus","Turkey coronavirus","GU213201.1","turkey","bird","bird",0.39852,0.06197,0.22842,0.03033,0.06823,0.07142,0.05732,0.08379
"91","Gammacoronavirus","Turkey coronavirus","KF652233.1","Meleagris gallopavo","bird","bird",0.4426,0.06668,0.1911,0.01933,0.059,0.06731,0.06589,0.08809
"92","Gammacoronavirus","Turkey coronavirus","KF652223.1","Meleagris gallopavo","bird","bird",0.4728,0.02565,0.20266,0.02913,0.04387,0.0745,0.05812,0.09327
"93","Gammacoronavirus","Turkey coronavirus","GQ469644.1","turkey","bird","bird",0.42619,0.06634,0.20965,0.02515,0.06372,0.06898,0.05811,0.08185
"94","Gammacoronavirus","Turkey coronavirus","KF652219.1","Meleagris gallopavo","bird","bird",0.43481,0.04291,0.22433,0.03164,0.05151,0.07385,0.05515,0.0858
"95","Gammacoronavirus","Turkey coronavirus","KF652235.1","Meleagris gallopavo","bird","bird",0.44918,0.02295,0.22324,0.02653,0.04275,0.08104,0.06345,0.09087
"96","Gammacoronavirus","Turkey coronavirus","KF652221.1","Meleagris gallopavo","bird","bird",0.48592,0.0214,0.21005,0.02281,0.04066,0.05527,0.06686,0.09704
"97","Gammacoronavirus","Turkey coronavirus","GQ427175.1","turkey","bird","bird",0.37448,0.0441,0.23376,0.05709,0.05576,0.06818,0.06445,0.10219
"98","Gammacoronavirus","Turkey coronavirus","GU213199.1","turkey","bird","bird",0.41271,0.05576,0.2292,0.02541,0.06699,0.07047,0.05836,0.08111
"99","Gammacoronavirus","Turkey coronavirus","KF652237.1","Meleagris gallopavo","bird","bird",0.4242,0.09272,0.1754,0.04044,0.0582,0.06078,0.07102,0.07723
"100","Gammacoronavirus","Turkey coronavirus","KF652229.1","Meleagris gallopavo","bird","bird",0.41775,0.04691,0.22214,0.04489,0.04518,0.06412,0.06653,0.09248
"101","Deltacoronavirus","White-eye coronavirus HKU16","NC_016991.1","white-eye","bird","bird",0.56942,0.02267,0.05885,0.00435,0.04102,0.06218,0.11227,0.12925
"102","Deltacoronavirus","White-eye coronavirus HKU16","JQ065044.1","white-eye","bird","bird",0.56942,0.02267,0.05885,0.00435,0.04102,0.06218,0.11227,0.12925
"103","Deltacoronavirus","Wigeon coronavirus HKU20","NC_016995.1","wigeon","bird","bird",0.30072,0.02064,0.09708,0.01115,0.08355,0.11646,0.18917,0.18124
"104","Deltacoronavirus","Wigeon coronavirus HKU20","JQ065048.1","wigeon","bird","bird",0.30072,0.02064,0.09708,0.01115,0.08355,0.11646,0.18917,0.18124
"105","Alphacoronavirus","Alpaca respiratory coronavirus","JQ410000.1","Vicugna pacos","camelid","camelid",0.0084,0.85675,0.00572,0.0341,0.00475,0.00675,0.02955,0.05398
"106","Betacoronavirus","Bovine coronavirus isolate Alpaca","DQ915164.2","alpaca","camelid","camelid",0.04425,0.31,0.24218,0.19422,0.07172,0.04047,0.05457,0.0426
"107","Alphacoronavirus","Camel alphacoronavirus","KT368914.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"108","Alphacoronavirus","Camel alphacoronavirus","KT368895.1","camel","camelid","camelid",0.00887,0.78613,0.01427,0.02893,0.00468,0.0015,0.0794,0.07622
"109","Alphacoronavirus","Camel alphacoronavirus","KT368907.1","camel","camelid","camelid",0.00728,0.86123,0.0059,0.02802,0.00463,0,0.04837,0.04457
"110","Alphacoronavirus","Camel alphacoronavirus","KT368899.1","camel","camelid","camelid",0.01053,0.83432,0.0107,0.0237,0.00488,5e-04,0.06823,0.04713
"111","Alphacoronavirus","Camel alphacoronavirus","KT368896.1","camel","camelid","camelid",0.00887,0.78613,0.01427,0.02893,0.00468,0.0015,0.0794,0.07622
"112","Alphacoronavirus","Camel alphacoronavirus","KT368892.1","camel","camelid","camelid",0.01137,0.80603,0.01307,0.02457,0.00448,0.0015,0.07567,0.06332
"113","Alphacoronavirus","Camel alphacoronavirus","KT368897.1","camel","camelid","camelid",0.00987,0.77813,0.01477,0.02807,0.00568,0.0015,0.07577,0.08622
"114","Alphacoronavirus","Camel alphacoronavirus","KT368904.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"115","Alphacoronavirus","Camel alphacoronavirus","KT368910.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"116","Alphacoronavirus","Camel alphacoronavirus","KT368903.1","camel","camelid","camelid",0.00892,0.86428,0.0085,0.01887,0.00248,5e-04,0.0508,0.04565
"117","Alphacoronavirus","Camel alphacoronavirus","KT368911.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"118","Alphacoronavirus","Camel alphacoronavirus","KT368913.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"119","Alphacoronavirus","Camel alphacoronavirus","MF593473.1","camel","camelid","camelid",0.0092,0.75567,0.01377,0.05343,0.00692,0.0035,0.06977,0.08775
"120","Alphacoronavirus","Camel alphacoronavirus","KT368898.1","camel","camelid","camelid",0.00908,0.86607,0.0078,0.0222,0.00288,5e-04,0.04975,0.04172
"121","Alphacoronavirus","Camel alphacoronavirus","KT368908.1","camel","camelid","camelid",0.00693,0.90802,0.0027,0.02125,0.00243,0,0.03042,0.02825
"122","Alphacoronavirus","Camel alphacoronavirus","KT368906.1","camel","camelid","camelid",0.01037,0.77127,0.01523,0.02373,0.00448,0.0015,0.07745,0.09597
"123","Alphacoronavirus","Camel alphacoronavirus","KT368901.1","camel","camelid","camelid",0.00418,0.82137,0.0091,0.027,0.00338,0.0025,0.05925,0.07322
"124","Alphacoronavirus","Camel alphacoronavirus","KT368909.1","camel","camelid","camelid",0.00807,0.77947,0.0134,0.02973,0.00448,0.0029,0.0797,0.08225
"125","Alphacoronavirus","Camel alphacoronavirus","KT368893.1","camel","camelid","camelid",0.01137,0.80603,0.01307,0.02457,0.00448,0.0015,0.07567,0.06332
"126","Alphacoronavirus","Camel alphacoronavirus","NC_028752.1","camel","camelid","camelid",0.00728,0.86123,0.0059,0.02802,0.00463,0,0.04837,0.04457
"127","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253328.1","Camelus dromedarius","camelid","camelid",0.02087,0.71869,0.00644,0.14392,0.01034,0.00527,0.05442,0.04007
"128","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253327.1","Camelus dromedarius","camelid","camelid",0.00411,0.96754,0.00378,0.00604,0.0016,0.00076,0.00818,0.008
"129","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253326.1","Camelus dromedarius","camelid","camelid",0.02087,0.71869,0.00644,0.14392,0.01034,0.00527,0.05442,0.04007
"130","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253325.1","Camelus dromedarius","camelid","camelid",0.01242,0.8448,0.0085,0.04728,0.00203,0.00338,0.04743,0.03417
"131","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253324.1","Camelus dromedarius","camelid","camelid",0.02087,0.71869,0.00644,0.14392,0.01034,0.00527,0.05442,0.04007
"132","Alphacoronavirus","Camel alphacoronavirus Camel229E","KU291449.1","Camelus dromedarius","camelid","camelid",0.02879,0.55093,0.01333,0.19379,0.01733,0.01119,0.09351,0.09112
"133","Alphacoronavirus","Camel coronavirus HKU23","MF593476.1","camel","camelid","camelid",0.01007,0.87728,0.04648,0.01415,0.01462,0.01577,0.01387,0.00777
"134","Alphacoronavirus","Camel coronavirus HKU23","KT368891.1","camel","camelid","camelid",0.00493,0.94835,0.00627,0.00995,0.01237,0.00545,0.00402,0.00867
"135","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514971.1","Camelus dromedarius","camelid","human",0.07472,0.16394,0.26276,0.28724,0.06491,0.07036,0.03926,0.03681
"136","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514970.1","Camelus dromedarius","camelid","human",0.07831,0.14505,0.28367,0.28769,0.0614,0.07391,0.03737,0.0326
"137","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514969.1","Camelus dromedarius","camelid","carnivore",0.10225,0.20096,0.20737,0.14195,0.13846,0.08915,0.0533,0.06656
"138","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514968.1","Camelus dromedarius","camelid","camelid",0.09067,0.20392,0.19786,0.16921,0.1353,0.08656,0.05449,0.062
"139","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514967.1","Camelus dromedarius","camelid","camelid",0.08664,0.24416,0.16544,0.18807,0.09255,0.0891,0.05643,0.0776
"140","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514966.1","Camelus dromedarius","camelid","camelid",0.09358,0.24939,0.13978,0.14205,0.15183,0.07924,0.05592,0.08822
"141","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514965.1","Camelus dromedarius","camelid","camelid",0.08247,0.2496,0.16147,0.18553,0.09884,0.08729,0.05881,0.07598
"142","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514964.1","Camelus dromedarius","camelid","camelid",0.08337,0.25109,0.16199,0.18591,0.09759,0.0881,0.05747,0.07449
"143","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514963.1","Camelus dromedarius","camelid","camelid",0.09857,0.2397,0.15024,0.12831,0.16115,0.08251,0.0609,0.07863
"144","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514962.1","Camelus dromedarius","camelid","camelid",0.09615,0.19298,0.17686,0.13651,0.18194,0.08456,0.05505,0.07595
"145","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906251.1","dromedary camel","camelid","camelid",0.07143,0.44379,0.12097,0.1003,0.09004,0.04904,0.04761,0.07683
"146","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906250.1","dromedary camel","camelid","camelid",0.07143,0.44379,0.12097,0.1003,0.09004,0.04904,0.04761,0.07683
"147","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906249.1","dromedary camel","camelid","camelid",0.07329,0.41914,0.11672,0.09742,0.10081,0.06117,0.05692,0.07453
"148","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598619.1","Camelus dromedarius","camelid","yangochiroptera",0.15995,0.02012,0.02148,0.03268,0.04308,0.0681,0.49422,0.16037
"149","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KJ650296.1","dromedary","camelid","yangochiroptera",0.16698,0.02012,0.02008,0.03393,0.0428,0.06183,0.49343,0.16082
"150","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368844.1","camel","camelid","yangochiroptera",0.13645,0.02567,0.02765,0.03888,0.05813,0.0878,0.45352,0.1719
"151","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368874.1","camel","camelid","yangochiroptera",0.1469,0.01912,0.02308,0.03613,0.0452,0.06643,0.50063,0.1625
"152","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598627.1","Camelus dromedarius","camelid","yangochiroptera",0.1469,0.01912,0.02308,0.03613,0.0452,0.06643,0.50063,0.1625
"153","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598638.1","Camelus dromedarius","camelid","yangochiroptera",0.15017,0.01872,0.01988,0.0336,0.04295,0.0626,0.50492,0.16717
"154","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598647.1","Camelus dromedarius","camelid","yangochiroptera",0.16362,0.01972,0.02038,0.03002,0.04335,0.06333,0.50098,0.1586
"155","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598600.1","Camelus dromedarius","camelid","yangochiroptera",0.15575,0.01872,0.02528,0.03323,0.04613,0.07343,0.49457,0.15288
"156","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KJ713299.1","Camelus dromedarius","camelid","yangochiroptera",0.16085,0.01912,0.02158,0.03193,0.04723,0.0651,0.49697,0.15722
"157","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368881.1","camel","camelid","yangochiroptera",0.15792,0.02072,0.02075,0.03393,0.04295,0.06508,0.49647,0.16218
"158","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598699.1","Camelus dromedarius","camelid","yangochiroptera",0.15928,0.01972,0.02428,0.03203,0.04353,0.0701,0.49557,0.15548
"159","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598608.1","Camelus dromedarius","camelid","yangochiroptera",0.16367,0.01872,0.02108,0.02893,0.04295,0.0708,0.48725,0.1666
"160","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598678.1","Camelus dromedarius","camelid","yangochiroptera",0.15725,0.01872,0.02378,0.03513,0.04613,0.07143,0.4929,0.15465
