"","genus","virus","accession","metadata_host","host_category","prediction","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"20","Gammacoronavirus","Infectious bronchitis virus","KJ425490.1","Gallus gallus","bird","bird",0.8733,0.0069,0.03922,0.00727,0.00145,0.0026,0.02125,0.04802
"21","Gammacoronavirus","Infectious bronchitis virus","KX302865.1","Gallus gallus","bird","bird",0.81557,0.0057,0.07378,0.00353,0.00967,0.01655,0.02745,0.04775
"22","Gammacoronavirus","Infectious bronchitis virus","KP662631.1","Gallus gallus","bird","bird",0.90205,0.0032,0.02752,0.00603,0.0072,0.00692,0.01787,0.02922
"23","Gammacoronavirus","Infectious bronchitis virus","KX275392.1","Gallus gallus","bird","bird",0.81938,0.0022,0.07658,0.0059,0.008,0.02363,0.0186,0.0457
"24","Gammacoronavirus","Infectious bronchitis virus","KX640829.1","Gallus gallus","bird","bird",0.83398,0.0035,0.05905,0.02053,0.00553,0.00685,0.02285,0.0477
"25","Gammacoronavirus","Infectious bronchitis virus","KX236013.1","Gallus gallus","bird","bird",0.77713,0.0032,0.08265,0.03123,0.01033,0.02663,0.0177,0.05112
"26","Gammacoronavirus","Infectious bronchitis virus","KX236009.1","Gallus gallus","bird","bird",0.76153,0.0017,0.07742,0.00703,0.02348,0.04028,0.03535,0.0532
"27","Gammacoronavirus","Infectious bronchitis virus","KJ135013.1","Gallus gallus","bird","bird",0.91933,0.0066,0.02023,0.0032,0.0032,0.00602,0.0166,0.02482
"28","Gammacoronavirus","Infectious bronchitis virus","KP118889.1","Gallus gallus","bird","bird",0.70137,0.0024,0.10243,0.02573,0.01423,0.03993,0.0384,0.0755
"29","Gammacoronavirus","Infectious bronchitis virus","KP118892.1","Gallus gallus","bird","bird",0.91165,0.00573,0.02127,0.013,0.003,0.00528,0.01993,0.02013
"30","Gammacoronavirus","Infectious bronchitis virus","KX259251.1","Gallus gallus","bird","bird",0.76288,0.003,0.08888,0.0097,0.01153,0.02588,0.0241,0.07402
"31","Gammacoronavirus","Infectious bronchitis virus","KX252772.1","Gallus gallus","bird","bird",0.76078,0.0022,0.09097,0.0038,0.01163,0.03357,0.026,0.07105
"32","Gammacoronavirus","Infectious bronchitis virus","MK032181.1","Gallus","bird","bird",0.81638,0.0056,0.07695,0.00595,0.00353,0.01863,0.02603,0.04692
"33","Gammacoronavirus","Infectious bronchitis virus","KX236000.1","Gallus gallus","bird","bird",0.8186,0.0055,0.06623,0.00975,0.01312,0.01613,0.02462,0.04605
"34","Gammacoronavirus","Infectious bronchitis virus","KF411040.1","chicken","bird","bird",0.69977,0.0125,0.09255,0.0136,0.00398,0.01695,0.05353,0.10712
"35","Gammacoronavirus","Infectious bronchitis virus","MH020185.1","chicken","bird","bird",0.78308,0.0085,0.06743,0.01353,0.0042,0.01888,0.04052,0.06385
"36","Gammacoronavirus","Infectious bronchitis virus","KX252777.1","Gallus gallus","bird","bird",0.80962,0.0092,0.05762,0.01453,0.00753,0.019,0.03277,0.04973
"37","Deltacoronavirus","Magpie-robin coronavirus HKU18","NC_016993.1","magpie-robin","bird","bird",0.34622,0.00375,0.00887,0,0.09188,0.26062,0.20222,0.08645
"38","Deltacoronavirus","Magpie-robin coronavirus HKU18","JQ065046.1","magpie-robin","bird","bird",0.34622,0.00375,0.00887,0,0.09188,0.26062,0.20222,0.08645
"39","Deltacoronavirus","Munia coronavirus HKU13-3514","NC_011550.1","white-rumped munia","bird","bird",0.4352,0.0076,0.05738,0.00125,0.06167,0.1465,0.12995,0.16045
"40","Deltacoronavirus","Munia coronavirus HKU13-3514","FJ376622.1","white-rumped munia","bird","bird",0.4352,0.0076,0.05738,0.00125,0.06167,0.1465,0.12995,0.16045
"41","Deltacoronavirus","Night heron coronavirus HKU19","NC_016994.1","night-heron","bird","bird",0.53673,0.00325,0.1542,0.0024,0.00633,0.02513,0.0544,0.21755
"42","Deltacoronavirus","Night heron coronavirus HKU19","JQ065047.1","night-heron","bird","bird",0.53673,0.00325,0.1542,0.0024,0.00633,0.02513,0.0544,0.21755
"43","Gammacoronavirus","Pheasant coronavirus","MK423877.1","Pheasant","bird","bird",0.96997,0,0.01358,0.005,0,0.001,0.00302,0.00743
"44","Gammacoronavirus","Pheasant coronavirus","MK423876.1","Pheasant","bird","bird",0.90215,0,0.06913,0.003,0,0.00692,0.00682,0.01198
"45","unclassified","Pigeon coronavirus UAE-HKU29","LC364344.1","Columbidae","bird","bird",0.9137,0.001,0.01418,4e-04,0,0.00772,0.02047,0.04253
"46","unclassified","Quail coronavirus UAE-HKU30","LC364346.1","Galliformes","bird","bird",0.80468,0.0052,0.02227,0.001,0.00617,0.08805,0.0439,0.02873
"47","unclassified","Quail coronavirus UAE-HKU30","LC364345.1","Galliformes","bird","bird",0.77272,0.005,0.03312,0.003,0.00637,0.04728,0.07423,0.05828
"48","Deltacoronavirus","Quail deltacoronavirus","MH532440.1","Coturnix japonica","bird","bird",0.63813,0.01543,0.05143,0.00393,0.01037,0.1285,0.08248,0.06972
"49","Deltacoronavirus","Sparrow coronavirus HKU17","NC_016992.1","sparrow","bird","swine",0.2863,0,0.02067,0,0.03742,0.49723,0.10313,0.05525
"50","Deltacoronavirus","Sparrow coronavirus HKU17","JQ065045.1","sparrow","bird","swine",0.26658,0.001,0.01667,0.001,0.02962,0.52557,0.10948,0.05008
"51","Deltacoronavirus","Sparrow deltacoronavirus","MG812378.1","sparrow","bird","bird",0.52472,0.00987,0.03227,0.001,0.01485,0.22432,0.1127,0.08028
"52","Deltacoronavirus","Sparrow deltacoronavirus","MG812377.1","sparrow","bird","bird",0.5475,0.01337,0.03535,0.006,0.0107,0.14095,0.14132,0.10482
"53","Deltacoronavirus","Sparrow deltacoronavirus","MG812376.1","sparrow","bird","bird",0.5512,0.00787,0.03843,0.002,0.01097,0.21115,0.11378,0.0646
"54","Deltacoronavirus","Sparrow deltacoronavirus","MG812375.1","sparrow","bird","bird",0.55283,0.00787,0.04235,0.002,0.01122,0.18515,0.1218,0.07678
"55","Deltacoronavirus","Thrush coronavirus HKU12-600","NC_011549.1","grey-backed thrush","bird","bird",0.3879,0.05722,0.10463,0.09752,0.00943,0.03598,0.13738,0.16993
"56","Deltacoronavirus","Thrush coronavirus HKU12-600","FJ376621.1","grey-backed thrush","bird","bird",0.3879,0.05722,0.10463,0.09752,0.00943,0.03598,0.13738,0.16993
"57","Gammacoronavirus","Turkey coronavirus","NC_010800.1","turkey","bird","bird",0.93913,0.0042,0.01145,0.00685,0.00413,0.00265,0.01587,0.01572
"58","Gammacoronavirus","Turkey coronavirus","EU095850.1","turkey","bird","bird",0.93613,0.0042,0.01245,0.00685,0.00413,0.00265,0.01687,0.01672
"59","Gammacoronavirus","Turkey coronavirus","GQ427176.1","turkey","bird","bird",0.93007,0.0012,0.01588,0.00085,0.01873,0.0032,0.01137,0.0187
"60","Gammacoronavirus","Turkey coronavirus","GQ427175.1","turkey","bird","bird",0.8707,0.0042,0.02607,0.00405,0.01965,0.0047,0.03495,0.03568
"61","Gammacoronavirus","Turkey coronavirus","GQ427174.1","turkey","bird","bird",0.92863,0.00092,0.02278,0.00245,0.01048,0.0025,0.01332,0.01892
"62","Gammacoronavirus","Turkey coronavirus","GQ427173.1","turkey","bird","bird",0.89448,0.00145,0.02473,0.00355,0.014,0.00595,0.0275,0.02833
"63","Deltacoronavirus","White-eye coronavirus HKU16","NC_016991.1","white-eye","bird","bird",0.6361,0.0294,0.06745,0.0117,0.01703,0.04267,0.08752,0.10813
"64","Deltacoronavirus","White-eye coronavirus HKU16","JQ065044.1","white-eye","bird","bird",0.6361,0.0294,0.06745,0.0117,0.01703,0.04267,0.08752,0.10813
"65","Deltacoronavirus","Wigeon coronavirus HKU20","NC_016995.1","wigeon","bird","bird",0.41058,0.04353,0.05273,0.03073,0.04573,0.05148,0.18058,0.18462
"66","Deltacoronavirus","Wigeon coronavirus HKU20","JQ065048.1","wigeon","bird","bird",0.41058,0.04353,0.05273,0.03073,0.04573,0.05148,0.18058,0.18462
"67","Alphacoronavirus","Alpaca respiratory coronavirus","JQ410000.1","Vicugna pacos","camelid","camelid",0.01047,0.73587,0.03043,0.05783,0.005,0.01075,0.05855,0.0911
"68","Betacoronavirus","Bovine coronavirus isolate Alpaca","DQ915164.2","alpaca","camelid","camelid",0.04143,0.42733,0.21417,0.13233,0.00692,0.10718,0.03715,0.03348
"69","Alphacoronavirus","Camel alphacoronavirus","KT368898.1","camel","camelid","camelid",0.00507,0.80065,0.02168,0.03152,0.00025,0.0079,0.04695,0.08598
"70","Alphacoronavirus","Camel alphacoronavirus","KT368910.1","camel","camelid","camelid",0.00457,0.80385,0.01743,0.0373,0,0.00673,0.0464,0.08372
"71","Alphacoronavirus","Camel alphacoronavirus","KT368900.1","camel","camelid","camelid",0.00557,0.80107,0.01868,0.04172,0,0.00663,0.04925,0.07708
"72","Alphacoronavirus","Camel alphacoronavirus","KT368899.1","camel","camelid","camelid",0.0044,0.80892,0.01643,0.03055,0.00045,0.008,0.0508,0.08045
"73","Alphacoronavirus","Camel alphacoronavirus","NC_028752.1","camel","camelid","camelid",0.00542,0.81737,0.01735,0.03422,0.00025,0.00607,0.0446,0.07473
"74","Alphacoronavirus","Camel alphacoronavirus","KT368914.1","camel","camelid","camelid",0.0059,0.80062,0.01937,0.03877,0.00025,0.00623,0.04842,0.08045
"75","Alphacoronavirus","Camel alphacoronavirus","KT368902.1","camel","camelid","camelid",0.00457,0.8043,0.01768,0.0388,0,0.00573,0.047,0.08192
"76","Alphacoronavirus","Camel alphacoronavirus","KT368906.1","camel","camelid","camelid",0.00308,0.78858,0.02028,0.04085,0.00045,0.00592,0.0507,0.09013
"77","Alphacoronavirus","Camel alphacoronavirus","KT368892.1","camel","camelid","camelid",0.01127,0.79147,0.01728,0.0366,0,0.00893,0.0485,0.08595
"78","Alphacoronavirus","Camel alphacoronavirus","KT368904.1","camel","camelid","camelid",0.0063,0.7946,0.01728,0.0403,0,0.00573,0.05,0.08578
"79","Alphacoronavirus","Camel alphacoronavirus","KT368915.1","camel","camelid","camelid",0.00442,0.8059,0.01703,0.02997,0,0.0063,0.0491,0.08728
"80","Alphacoronavirus","Camel alphacoronavirus","KT368916.1","camel","camelid","camelid",0.00282,0.81082,0.01683,0.03522,0.00045,0.00657,0.051,0.0763
"81","Alphacoronavirus","Camel alphacoronavirus","KT368905.1","camel","camelid","camelid",0.0063,0.7946,0.01728,0.0403,0,0.00573,0.05,0.08578
"82","Alphacoronavirus","Camel alphacoronavirus","KT368894.1","camel","camelid","camelid",0.00607,0.80413,0.01578,0.0331,0,0.00613,0.04833,0.08645
"83","Alphacoronavirus","Camel alphacoronavirus","KT368895.1","camel","camelid","camelid",0.00308,0.80258,0.02078,0.03885,0.00045,0.00592,0.0512,0.07713
"84","Alphacoronavirus","Camel alphacoronavirus","KT368908.1","camel","camelid","camelid",0.00442,0.81167,0.01543,0.04097,0.00045,0.00757,0.0459,0.0736
"85","Alphacoronavirus","Camel alphacoronavirus","KT368907.1","camel","camelid","camelid",0.00542,0.81737,0.01735,0.03422,0.00025,0.00607,0.0446,0.07473
"86","Alphacoronavirus","Camel alphacoronavirus","KT368903.1","camel","camelid","camelid",0.00442,0.8265,0.0186,0.03397,0.00025,0.00757,0.0408,0.0679
"87","Alphacoronavirus","Camel alphacoronavirus","KT368901.1","camel","camelid","camelid",0.00547,0.80878,0.01768,0.03142,0.00025,0.0055,0.04748,0.08342
"88","Alphacoronavirus","Camel alphacoronavirus","KT368911.1","camel","camelid","camelid",0.0068,0.8002,0.01953,0.0375,0,0.00483,0.0506,0.08053
"89","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253328.1","Camelus dromedarius","camelid","camelid",0.01747,0.63547,0.02578,0.12835,0.0047,0.0174,0.06103,0.1098
"90","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253327.1","Camelus dromedarius","camelid","camelid",0.01122,0.7382,0.01547,0.0893,6e-04,0.00827,0.05553,0.08142
"91","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253326.1","Camelus dromedarius","camelid","camelid",0.01463,0.7304,0.01187,0.09597,0.0016,0.01203,0.0524,0.0811
"92","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253325.1","Camelus dromedarius","camelid","camelid",0.01263,0.75532,0.01137,0.07943,6e-04,0.00795,0.05075,0.08195
"93","Alphacoronavirus","Camel alphacoronavirus Camel229E","KT253324.1","Camelus dromedarius","camelid","camelid",0.01432,0.72308,0.01248,0.093,0.0016,0.01228,0.06127,0.08197
"94","Alphacoronavirus","Camel alphacoronavirus Camel229E","KU291449.1","Camelus dromedarius","camelid","camelid",0.02193,0.67425,0.02193,0.10055,0,0.015,0.06222,0.10412
"95","Alphacoronavirus","Camel coronavirus HKU23","KT368891.1","camel","camelid","camelid",0.02145,0.79525,0.08233,0.0472,0.0017,0.02432,0.01483,0.01292
"96","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514967.1","Camelus dromedarius","camelid","human",0.02817,0.09512,0.09605,0.69358,0.00485,0.04293,0.02382,0.01548
"97","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514966.1","Camelus dromedarius","camelid","human",0.04102,0.15195,0.15142,0.5272,0.00585,0.0657,0.02738,0.02948
"98","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514965.1","Camelus dromedarius","camelid","human",0.02197,0.10503,0.11983,0.65403,0.00752,0.04758,0.02397,0.02007
"99","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514964.1","Camelus dromedarius","camelid","human",0.02717,0.10117,0.1031,0.68158,0.00585,0.04313,0.02227,0.01573
"100","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514963.1","Camelus dromedarius","camelid","human",0.03167,0.09705,0.08272,0.65447,0.00705,0.06342,0.04318,0.02045
"101","Betacoronavirus","Dromedary camel coronavirus HKU23","MN514962.1","Camelus dromedarius","camelid","human",0.03453,0.14468,0.18683,0.51973,0.00672,0.06172,0.02547,0.02032
"102","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906251.1","dromedary camel","camelid","camelid",0.06443,0.3768,0.21153,0.22805,0.00622,0.04728,0.03283,0.03285
"103","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906250.1","dromedary camel","camelid","camelid",0.06443,0.3768,0.21153,0.22805,0.00622,0.04728,0.03283,0.03285
"104","Betacoronavirus","Dromedary camel coronavirus HKU23","KF906249.1","dromedary camel","camelid","camelid",0.06877,0.37978,0.22498,0.20948,0.0053,0.04902,0.02548,0.03718
"105","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368843.1","camel","camelid","yangochiroptera",0.08387,0.00693,0.02613,0.00675,0.01417,0.14535,0.61907,0.09773
"106","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KP719933.1","Camelus dromedarius","camelid","yangochiroptera",0.08685,0.00927,0.01985,0.00575,0.01605,0.13755,0.62955,0.09513
"107","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598688.1","Camelus dromedarius","camelid","yangochiroptera",0.08547,0.00693,0.02098,0.00675,0.01457,0.14855,0.61572,0.10103
"108","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598710.1","Camelus dromedarius","camelid","yangochiroptera",0.09355,0.00727,0.0213,0.0065,0.01582,0.13195,0.62575,0.09787
"109","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KJ650297.1","dromedary","camelid","yangochiroptera",0.0851,0.01087,0.01827,0.0077,0.0129,0.1298,0.65103,0.08433
"110","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598685.1","Camelus dromedarius","camelid","yangochiroptera",0.08547,0.00693,0.02073,0.00675,0.01572,0.14955,0.61245,0.1024
"111","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368831.1","camel","camelid","yangochiroptera",0.08857,0.00693,0.02138,0.00695,0.01633,0.13255,0.62482,0.10247
"112","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598616.1","Camelus dromedarius","camelid","yangochiroptera",0.09252,0.00793,0.02123,0.00695,0.01607,0.14188,0.61417,0.09925
"113","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598655.1","Camelus dromedarius","camelid","yangochiroptera",0.09355,0.00627,0.02263,0.0075,0.01582,0.13195,0.62805,0.09423
"114","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598647.1","Camelus dromedarius","camelid","yangochiroptera",0.09392,0.00793,0.02238,0.00575,0.01725,0.1322,0.62443,0.09613
"115","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598719.1","Camelus dromedarius","camelid","yangochiroptera",0.08342,0.00753,0.02528,0.0067,0.01457,0.1312,0.63342,0.09788
"116","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368829.1","camel","camelid","yangochiroptera",0.08557,0.00693,0.02138,0.00695,0.01608,0.13215,0.62897,0.10197
"117","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368860.1","camel","camelid","yangochiroptera",0.1018,0.00693,0.02063,0.00775,0.01557,0.14595,0.60978,0.09158
"118","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598663.1","Camelus dromedarius","camelid","yangochiroptera",0.08462,0.00693,0.02288,0.00675,0.01622,0.13795,0.62512,0.09953
"119","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368838.1","camel","camelid","yangochiroptera",0.08697,0.00693,0.02023,0.00575,0.01657,0.15055,0.61262,0.10038
"120","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598607.1","Camelus dromedarius","camelid","yangochiroptera",0.08747,0.00693,0.02023,0.00675,0.01507,0.14955,0.6153,0.0987
"121","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KT368886.1","camel","camelid","yangochiroptera",0.0992,0.00693,0.02023,0.00695,0.01607,0.14455,0.61175,0.09432
"122","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF598617.1","Camelus dromedarius","camelid","yangochiroptera",0.08672,0.00693,0.02163,0.00575,0.01457,0.15095,0.6127,0.10075
"123","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KX108945.1","Camelus dromedarius","camelid","yangochiroptera",0.08887,0.00793,0.02023,0.00695,0.01457,0.14655,0.61238,0.10252
"124","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","KX108942.1","Camelus dromedarius","camelid","yangochiroptera",0.09002,0.00893,0.01885,0.00575,0.01405,0.13655,0.63655,0.0893
"125","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MF593268.1","Neoromicia capensis","yangochiroptera","yangochiroptera",0.0331,0.00725,0.02505,0.00375,0.0083,0.06417,0.7485,0.10988
"126","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG596803.1","Pipistrellus kuhlii","yangochiroptera","yangochiroptera",0.2077,0.03255,0.0717,0.02755,0.0216,0.04425,0.37878,0.21587
"127","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","MG596802.1","Hypsugo savii","yangochiroptera","yangochiroptera",0.23948,0.03105,0.06363,0.02815,0.02297,0.0305,0.37107,0.21315
"128","Alphacoronavirus","Alphacoronavirus Mink/China/1/2016","MF113046.1","mink","carnivore","carnivore",0.06888,0.04932,0.47235,0.04542,0.00317,0.01497,0.12355,0.22235
"129","Alphacoronavirus","Canine coronavirus","KY063617.1","dog","carnivore","swine",0.0763,0.0155,0.11088,0.0075,0.00395,0.545,0.09262,0.14825
"130","Alphacoronavirus","Canine coronavirus","KY063616.1","dog","carnivore","swine",0.0869,0.01,0.10243,0.00658,0.00515,0.59507,0.06888,0.12498
"131","Alphacoronavirus","Canine coronavirus","KP981644.1","Canis lupus familiaris","carnivore","swine",0.0534,0.00567,0.13035,0.01,0.00275,0.59543,0.05168,0.15072
"132","Alphacoronavirus","Canine coronavirus","KC175341.1","Canis lupus familiaris","carnivore","swine",0.03518,0.0052,0.15755,0.008,0.00675,0.57678,0.06455,0.14598
"133","Alphacoronavirus","Canine coronavirus","KC175340.1","Canis lupus familiaris","carnivore","swine",0.03498,0.0052,0.15815,0.008,0.00675,0.57528,0.06585,0.14578
"134","Alphacoronavirus","Canine coronavirus","KC175339.1","Canis lupus familiaris","carnivore","carnivore",0.00225,0.00083,0.94293,0,0.001,0.02338,0.00668,0.02292
"135","Alphacoronavirus","Canine coronavirus","JN856008.2","Canis lupus familiaris","carnivore","swine",0.04847,0.01387,0.10385,0.01285,0.00627,0.57925,0.07582,0.15963
"136","Alphacoronavirus","Canine coronavirus","JQ404410.1","dog","carnivore","swine",0.0473,0.006,0.15513,0.00525,0.00425,0.5904,0.04872,0.14295
"137","Alphacoronavirus","Canine coronavirus","JQ404409.1","dog","carnivore","swine",0.03717,0.004,0.13945,0.008,0.00735,0.63548,0.0505,0.11805
"138","Alphacoronavirus","Canine coronavirus","GQ477367.1","dog","carnivore","swine",0.05007,0.0057,0.18285,0.0072,0.00607,0.49488,0.06397,0.18927
"139","Betacoronavirus","Canine respiratory coronavirus","KX432213.1","dog","carnivore","camelid",0.03607,0.53655,0.00445,0.31582,0.00355,0.053,0.02545,0.02512
"140","Betacoronavirus","Canine respiratory coronavirus","JX860640.1","dog","carnivore","camelid",0.03028,0.67093,0.0052,0.18253,0.00725,0.05405,0.0246,0.02515
"141","Betacoronavirus","Civet SARS CoV 007/2004","AY572034.1","civet","carnivore","carnivore",0.01185,0.0026,0.66618,0.00192,0.00058,0.0029,0.03425,0.27972
"142","Alphacoronavirus","Feline alphacoronavirus 1","MH817484.1","Felis catus","carnivore","carnivore",0.02112,0.00067,0.91795,0,0.00225,0.0202,0.01558,0.02223
"143","Alphacoronavirus","Feline coronavirus","KP143509.1","Felis catus","carnivore","carnivore",0.00665,0.01092,0.8608,0.0015,0.00175,0.02008,0.03363,0.06467
"144","Alphacoronavirus","Feline coronavirus","KY566211.1","cat","carnivore","carnivore",0.011,0,0.95573,0,0.001,0.01083,0.00743,0.014
"145","Alphacoronavirus","Feline coronavirus","KP143512.1","Felis catus","carnivore","carnivore",0.0079,0.01167,0.85968,0.001,0.00175,0.019,0.03578,0.06322
"146","Alphacoronavirus","Feline coronavirus","KP143510.1","Felis catus","carnivore","carnivore",0.0114,0.01132,0.85438,0.00217,0.00175,0.02075,0.03483,0.0634
"147","Alphacoronavirus","Feline coronavirus","KY566209.1","cat","carnivore","carnivore",0.0144,0,0.94863,0,0.00125,0.0125,0.0069,0.01632
"148","Alphacoronavirus","Feline coronavirus","KF530123.1","Felis catus","carnivore","carnivore",0.00365,0,0.96638,0,0.0014,0.01333,0.00938,0.00585
"149","Alphacoronavirus","Feline coronavirus","KU215424.1","Felis catus","carnivore","carnivore",0.00192,0.0011,0.98385,0.001,0.0015,0.001,0.003,0.00663
"150","Alphacoronavirus","Feline coronavirus","KU215425.1","Felis catus","carnivore","carnivore",0.00192,0.0011,0.98385,0.001,0.0015,0.001,0.003,0.00663
"151","Alphacoronavirus","Feline coronavirus","DQ010921.1","cat","carnivore","carnivore",0.0051,0,0.9043,4e-04,0.00342,0.0578,0.01123,0.01775
"152","Alphacoronavirus","Feline coronavirus","KY566210.1","cat","carnivore","carnivore",0.009,0.001,0.95372,0,0.002,0.0115,0.00803,0.01475
"153","Alphacoronavirus","Feline coronavirus","KP143507.1","Felis catus","carnivore","carnivore",0.0079,0.01167,0.85968,0.001,0.00175,0.019,0.03578,0.06322
"154","Alphacoronavirus","Feline coronavirus","KU215423.1","Felis catus","carnivore","carnivore",0.00612,0,0.97295,0,0.0015,0.004,0.003,0.01243
"155","Alphacoronavirus","Feline coronavirus","KU215419.1","Felis catus","carnivore","carnivore",0.00312,0,0.98162,0,0.00283,0.001,0.003,0.00843
"156","Alphacoronavirus","Feline coronavirus","KU215422.1","Felis catus","carnivore","carnivore",0.00192,6e-04,0.98402,0.001,0.00183,0.001,0.003,0.00663
"157","Alphacoronavirus","Feline coronavirus","KU215420.1","Felis catus","carnivore","carnivore",0.00192,0.0011,0.98285,0.001,0.0015,0.001,0.003,0.00763
"158","Alphacoronavirus","Feline coronavirus","KY292377.1","cat","carnivore","carnivore",0.00533,2e-04,0.92198,0.001,0.003,0.02162,0.0163,0.03057
"159","Alphacoronavirus","Feline coronavirus","GQ152141.1","cat","carnivore","carnivore",0.00732,0.00067,0.90497,0.006,0.00162,0.0215,0.01725,0.04068
