"","accessionversion","title","taxid","genus","childtaxa_name","createdate","complete","length","subname"
"14","AY702975.1","lcl|AY702975.1_cds_AAU14248.1_1 [gene=S] [protein=S protein] [protein_id=AAU14248.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2004/09/13","complete_spike",3498,"LDT3|Avian infectious bronchitis virus|China|teal"
"15","EU714029.1","lcl|EU714029.1_cds_ACH72804.1_3 [gene=2] [protein=spike glycoprotein] [protein_id=ACH72804.1] [location=20361..23837] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2009/08/29","whole_genome",3477,"SC021202|Gallus gallus|China|Nov-2002|responsible for field outbreak of chick nephritis"
"16","KJ425509.1","lcl|KJ425509.1_cds_AHX26109.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX26109.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LJL/121059|Gallus gallus|China|23-Oct-2012"
"17","KX252772.1","lcl|KX252772.1_cds_APY23479.1_2 [gene=S] [protein=S protein] [protein_id=APY23479.1] [location=20374..23862] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/01","whole_genome",3489,"ck/CH/LSHH/03II|Gallus gallus|LX4|China|2003"
"18","KX302864.1","lcl|KX302864.1_cds_APZ73688.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73688.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LSD/09091|Gallus gallus|LX4|China|Sep-2009"
"19","DQ458217.3","lcl|DQ458217.3_cds_ABE68839.3_1 [gene=S] [protein=spike glycoprotein] [protein_id=ABE68839.3] [location=1..3510] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2006/04/18","complete_spike",3510,"Ark99; by RFLP pattern|AL/4614/98|USA|chorioallantoic fluid from embryonated chicken eggs"
"20","EU822341.1","lcl|EU822341.1_cds_ACJ50199.1_1 [gene=S] [protein=spike protein] [protein_id=ACJ50199.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2008/11/24","complete_spike",3489,"H120|Mass"
"21","AF352311.1","lcl|AF352311.1_cds_AAK27164.1_1 [gene=S] [protein=spike glycoprotein] [protein_id=AAK27164.1] [location=44..3286] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2001/03/27","complete_spike",3243,"ZJ971|Avian infectious bronchitis virus|China|IBV mainly affects chicken proventriculus enlargement"
"22","KX247130.1","lcl|KX247130.1_cds_APW85794.1_2 [gene=S] [protein=S protein] [protein_id=APW85794.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/01/28","whole_genome",3498,"ck/CH/LHB/120402|Gallus gallus|LX4|China|Apr-2012"
"23","JQ920391.1","lcl|JQ920391.1_cds_AFP50250.1_1 [gene=S] [protein=spike protein] [protein_id=AFP50250.1] [location=1..3492] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/12/31","complete_spike",3492,"9137-5|Gallus gallus|South Korea|2009"
"24","DQ830981.1","lcl|DQ830981.1_cds_ABH01142.1_1 [protein=spike glycoprotein] [protein_id=ABH01142.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2006/08/02","complete_spike",3489,"Bdtt42_Cornell|Beaudette 42|Avian infectious bronchitis virus|USA"
"25","KX668222.1","lcl|KX668222.1_cds_AOC59731.1_1 [gene=s] [protein=spike protein] [protein_id=AOC59731.1] [location=1..3510] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2016/08/20","complete_spike",3510,"S78/14|Taiwan|2014"
"26","MK937831.1","lcl|MK937831.1_cds_QDA76318.1_2 [gene=S] [protein=spike protein] [protein_id=QDA76318.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/06/18","whole_genome",3489,"H120|Gallus|China"
"27","AY702085.1","lcl|AY702085.1_cds_AAU09490.1_1 [protein=spike protein] [protein_id=AAU09490.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2004/09/06","complete_spike",3489,"LKQ3|peafowl|Avian infectious bronchitis virus|China"
"28","KX252775.1","lcl|KX252775.1_cds_APY23506.1_2 [gene=S] [protein=spike protein] [protein_id=APY23506.1] [location=20368..23865] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/01","whole_genome",3498,"ck/CH/LHB/130628|Gallus gallus|China|2013"
"29","KX302863.1","lcl|KX302863.1_cds_APZ73679.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73679.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LSD/090334|Gallus gallus|LX4|China|Mar-2009"
"30","KX302870.1","lcl|KX302870.1_cds_APZ73742.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73742.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LHLJ/130822|Gallus gallus|LX4|China|2013"
"31","KX247128.1","lcl|KX247128.1_cds_APW85776.1_2 [gene=S] [protein=S protein] [protein_id=APW85776.1] [location=20368..23865] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/01/28","whole_genome",3498,"ck/CH/LHB/130569|Gallus gallus|LX4|China|May-2013"
"32","AY692454.1","lcl|AY692454.1_cds_AAV98206.1_3 [protein=spike protein] [protein_id=AAV98206.1] [location=20368..23856] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2004/12/18","complete_spike",3489,"Beaudette-Vero cell adapted"
"33","KP118887.1","lcl|KP118887.1_cds_AJT47905.1_2 [gene=S] [protein=spike protein] [protein_id=AJT47905.1] [location=20317..23811] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2015/03/16","whole_genome",3495,"ck/CH/LHB/140532|genomic RNA|Gallus gallus|China|2014"
"34","HM245924.1","lcl|HM245924.1_cds_ADI54955.1_3 [protein=spike glycoprotein] [protein_id=ADI54955.1] [location=20371..23874] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2010/06/15","whole_genome",3504,"CQ04-1|chicken|China|2004"
"35","KP118888.1","lcl|KP118888.1_cds_AJT47914.1_2 [gene=S] [protein=spike protein] [protein_id=AJT47914.1] [location=20314..23808] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2015/03/16","whole_genome",3495,"ck/CH/LLN/130102|genomic RNA|Gallus gallus|China|2013"
"36","KM365467.1","lcl|KM365467.1_cds_AJP08830.1_1 [gene=S] [protein=spike protein] [protein_id=AJP08830.1] [location=1..3516] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2016/12/31","complete_spike",3516,"GX-NN120089|chicken|China|2012"
"37","KX252774.1","lcl|KX252774.1_cds_APY23497.1_2 [gene=S] [protein=spike protein] [protein_id=APY23497.1] [location=20368..23865] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/01","whole_genome",3498,"ck/CH/LHB/130589|Gallus gallus|China|2013"
"38","KX252773.1","lcl|KX252773.1_cds_APY23488.1_2 [gene=S] [protein=S protein] [protein_id=APY23488.1] [location=20353..23850] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/01","whole_genome",3498,"ck/CH/LHB/140542|Gallus gallus|LX4|China|May-2014"
"39","KX302866.1","lcl|KX302866.1_cds_APZ73706.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73706.1] [location=20374..23871] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LJL/04I|Gallus gallus|LX4|China|2004"
"40","KJ425493.1","lcl|KJ425493.1_cds_AHX25965.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX25965.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LHB/120749|Gallus gallus|China|21-Jul-2012"
"41","DQ830980.1","lcl|DQ830980.1_cds_ABH01141.1_1 [protein=spike glycoprotein] [protein_id=ABH01141.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2006/08/02","complete_spike",3489,"Mass41|Massachusetts 41|Avian infectious bronchitis virus|USA"
"42","FJ829881.1","lcl|FJ829881.1_cds_ACX71850.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71850.1] [location=1..3462] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3462,"nephropathogenic|N|chicken|China|2001"
"43","FJ829877.1","lcl|FJ829877.1_cds_ACX71846.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71846.1] [location=1..3462] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3462,"nephropathogenic|JH06011|chicken|China: Zhejiang|2006"
"44","U04739.1","lcl|U04739.1_cds_AAC54067.1_1 [protein=spike protein precursor] [protein_id=AAC54067.1] [location=107..3613] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","1995/05/12","complete_spike",3507,"CU-T2|Gallus domesticus|Avian infectious bronchitis virus"
"45","MK937832.1","lcl|MK937832.1_cds_QDA76327.1_2 [gene=S] [protein=spike protein] [protein_id=QDA76327.1] [location=20356..23844] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/06/18","whole_genome",3489,"ck/CH/LJL/130906|Gallus|China|2013"
"46","DQ001339.1","lcl|DQ001339.1_cds_AAY24433.1_3 [protein=spike protein] [protein_id=AAY24433.1] [location=20365..23853] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2005/05/07","whole_genome",3489,"Beaudette|IBV-p65|A variant|Avian infectious bronchitis virus|Vero cell passage 65"
"47","EU714028.1","lcl|EU714028.1_cds_ACH72794.1_3 [gene=2] [protein=spike glycoprotein] [protein_id=ACH72794.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2009/08/29","whole_genome",3489,"ZJ971|Gallus gallus|China|swollen proventriculus|1997"
"48","KX236014.1","lcl|KX236014.1_cds_APY26861.1_2 [gene=S] [protein=spike protein] [protein_id=APY26861.1] [location=20380..23877] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/04","whole_genome",3498,"ck/CH/LHB/120497|Gallus gallus|genomic RNA|China|2012"
"49","JX195176.1","lcl|JX195176.1_cds_AFQ94222.1_2 [gene=S] [protein=S protein] [protein_id=AFQ94222.1] [location=20371..23865] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/09/05","whole_genome",3495,"ck/CH/LZJ/111113|chicken|China|03-Nov-2011"
"50","FJ829875.1","lcl|FJ829875.1_cds_ACX71844.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71844.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3489,"nephropathogenic|JH051|chicken|China|2005"
"51","JX195177.1","lcl|JX195177.1_cds_AFQ94231.1_2 [gene=S] [protein=S protein] [protein_id=AFQ94231.1] [location=20371..23871] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/09/05","whole_genome",3501,"ck/CH/LDL/97I|P5|chicken|China|1997"
"52","JN022553.1","lcl|JN022553.1_cds_AER08738.1_1 [gene=S] [protein=spike glycoprotein] [protein_id=AER08738.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/26","complete_spike",3498,"QX-like|082066/10|chicken|QX-like|egg innoculation|Sweden|allantoic fluid|2010|SVA"
"53","MK937830.1","lcl|MK937830.1_cds_QDA76309.1_2 [gene=S] [protein=spike protein] [protein_id=QDA76309.1] [location=20374..23835] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/06/18","whole_genome",3462,"M41|Gallus|China"
"54","KX302868.1","lcl|KX302868.1_cds_APZ73724.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73724.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LHLJ/130744|Gallus gallus|LX4|China|2013"
"55","KX302869.1","lcl|KX302869.1_cds_APZ73733.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73733.1] [location=20368..23865] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LHLJ/090806|Gallus gallus|LX4|China|Aug-2009"
"56","KJ469737.1","lcl|KJ469737.1_cds_AHY19803.1_1 [gene=S] [protein=spike glycoprotein] [protein_id=AHY19803.1] [location=1..3501] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/05/03","complete_spike",3501,"SDIB662/2011|chicken|QX|China|30-Dec-2011"
"57","KJ469738.1","lcl|KJ469738.1_cds_AHY19804.1_1 [gene=S] [protein=spike glycoprotein] [protein_id=AHY19804.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/05/03","complete_spike",3498,"SDIB669/2012|chicken|QX|China|05-Jan-2012"
"58","KM586818.1","lcl|KM586818.1_cds_AKN20490.1_3 [gene=S] [protein=S] [protein_id=AKN20490.1] [location=20341..23838] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2015/09/30","whole_genome",3498,"P100|chicken|QX-type|China|Aug-2008"
"59","KY992864.1","lcl|KY992864.1_cds_AVP82577.1_1 [protein=spike glycoprotein] [protein_id=AVP82577.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2018/05/01","complete_spike",3498,"VNUA8|chicken|QX-like|Viet Nam|Aug-2015"
"60","MK217372.1","lcl|MK217372.1_cds_QDA76219.1_2 [gene=S] [protein=spike protein] [protein_id=QDA76219.1] [location=20371..23886] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/06/18","whole_genome",3516,"I0221/17|Gallus|China|2017"
"61","KY992865.1","lcl|KY992865.1_cds_AVP82578.1_1 [protein=spike glycoprotein] [protein_id=AVP82578.1] [location=1..3516] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2018/05/01","complete_spike",3516,"VNUA11|chicken|TC07-like|Viet Nam|Aug-2015"
"62","KJ425508.1","lcl|KJ425508.1_cds_AHX26100.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX26100.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LHN/090909|Gallus gallus|China|09-Sep-2009"
"63","KC136209.1","lcl|KC136209.1_cds_AGE13891.1_2 [gene=S] [protein=S protein] [protein_id=AGE13891.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2013/02/09","whole_genome",3498,"ck/CH/LJL/110302|chicken|China|2011"
"64","KJ425510.1","lcl|KJ425510.1_cds_AHX26118.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX26118.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LSD/110505|Gallus gallus|China|05-May-2011"
"65","JQ977697.1","lcl|JQ977697.1_cds_AFQ31000.1_3 [gene=S] [protein=S protein] [protein_id=AFQ31000.1] [location=20374..23883] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/08/27","whole_genome",3510,"SNU8067|Gallus gallus|South Korea|2008"
"66","KJ425490.1","lcl|KJ425490.1_cds_AHX25938.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX25938.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LHB/111232|Gallus gallus|China|21-Dec-2011"
"67","KX302867.1","lcl|KX302867.1_cds_APZ73715.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73715.1] [location=20384..23881] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LJL/150430|Gallus gallus|LX4|China|2015"
"68","FJ829878.1","lcl|FJ829878.1_cds_ACX71847.1_1 [gene=S] [protein=spike protein] [protein_id=ACX71847.1] [location=1..3462] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2011/10/20","complete_spike",3462,"JD071201|chicken|China: Zhejiang|2007"
"69","KP343691.1","lcl|KP343691.1_cds_AKJ66253.1_2 [gene=S] [protein=spike protein] [protein_id=AKJ66253.1] [location=20314..23811] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2015/06/07","whole_genome",3498,"ck/CH/LGX/130530|Gallus gallus|China|2013"
"70","MN566147.1","lcl|MN566147.1_cds_QHB80054.1_3 [protein=spike glycoprotein] [protein_id=QHB80054.1] [location=20311..23817] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2020/01/12","whole_genome",3507,"GA/1359/1994|broiler|ArkDPI|USA|1994"
"71","HM245923.1","lcl|HM245923.1_cds_ADI54945.1_3 [protein=spike glycoprotein] [protein_id=ADI54945.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2010/06/15","whole_genome",3498,"DY07|chicken|China|2007"
"72","JQ920388.1","lcl|JQ920388.1_cds_AFP50238.1_1 [gene=S] [protein=spike protein] [protein_id=AFP50238.1] [location=1..3510] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2012/12/31","complete_spike",3510,"8067|Gallus gallus|South Korea|2008"
"73","KJ425506.1","lcl|KJ425506.1_cds_AHX26082.1_2 [gene=S] [protein=spike protein] [exception=ribosomal slippage] [protein_id=AHX26082.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2014/04/23","whole_genome",3489,"ck/CH/LHLJ/111050|Gallus gallus|China|22-Oct-2011"
"74","MK510437.1","lcl|MK510437.1_cds_QIN55201.1_1 [protein=spike protein] [protein_id=QIN55201.1] [location=1..3498] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2020/04/01","complete_spike",3498,"R18/27K|chicken|South Korea|retail chicken meat|01-May-2018|S.H. Lee"
"75","KU317090.1","lcl|KU317090.1_cds_ANI87711.1_3 [protein=spike protein] [protein_id=ANI87711.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2016/06/11","whole_genome",3498,"SAIBK2|Gallus gallus|LX4|China|2011"
"76","DQ490221.1","lcl|DQ490221.1_cds_ABF61579.1_1 [gene=S] [protein=spike protein] [protein_id=ABF61579.1] [location=1..3504] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2007/04/30","complete_spike",3504,"Vic|Australia"
"77","KX236016.1","lcl|KX236016.1_cds_APY26879.1_2 [gene=S] [protein=S protein] [protein_id=APY26879.1] [location=20365..23859] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/04","whole_genome",3495,"ck/CH/LHB/090921|Gallus gallus|LX4|China|Sep-2009"
"78","EU822339.1","lcl|EU822339.1_cds_ACJ50183.1_1 [gene=S] [protein=spike protein] [protein_id=ACJ50183.1] [location=1..3471] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2008/11/24","complete_spike",3471,"3071/03|Taiwan"
"79","KF574761.1","lcl|KF574761.1_cds_AGZ20168.1_3 [gene=S] [protein=S protein] [protein_id=AGZ20168.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2013/11/06","whole_genome",3498,"SDIB821/2012|chicken|2012"
"80","KY805845.1","lcl|KY805845.1_cds_ARS23139.1_3 [protein=spike glycoprotein] [protein_id=ARS23139.1] [location=20314..23802] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/05/24","whole_genome",3489,"IBV/Ck/EG/CU/1/2014|Gallus gallus|avian infectious bronchitis virus|GI-1|Egypt|2014"
"81","MN512434.1","lcl|MN512434.1_cds_QGM12378.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=QGM12378.1] [location=20403..23903] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/11/25","whole_genome",3501,"IBV/Ck/Can/17-035614|chicken|Canada|2017"
"82","KX302865.1","lcl|KX302865.1_cds_APZ73697.1_2 [gene=S] [protein=spike protein] [protein_id=APZ73697.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/02/05","whole_genome",3498,"ck/CH/LJS/131102|Gallus gallus|LX4|China|2013"
"83","DQ001340.1","lcl|DQ001340.1_cds_AAY21246.1_1 [protein=spike protein] [protein_id=AAY21246.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2005/05/02","complete_spike",3489,"Beaudette|IBV-p20C22|Avian infectious bronchitis virus|Vero cell"
"84","KY992863.1","lcl|KY992863.1_cds_AVP82576.1_1 [protein=spike glycoprotein] [protein_id=AVP82576.1] [location=1..3501] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2018/05/01","complete_spike",3501,"VNUA3|chicken|Q1-like|Viet Nam|Oct-2014"
"85","DQ001338.1","lcl|DQ001338.1_cds_AAY24423.1_3 [protein=spike protein] [protein_id=AAY24423.1] [location=20368..23856] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2005/05/07","whole_genome",3489,"Beaudette|IBV-EP3|A variant|Avian infectious bronchitis virus|chicken embryo cell passage 3"
"86","DQ001337.1","lcl|DQ001337.1_cds_AAY21245.1_1 [protein=spike protein] [protein_id=AAY21245.1] [location=1..3489] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2005/05/02","complete_spike",3489,"Beaudette|Avian infectious bronchitis virus|Singapore|Vero cell passage 7"
"87","MK032181.1","lcl|MK032181.1_cds_AZA07860.1_2 [gene=S] [protein=spike protein] [protein_id=AZA07860.1] [location=20368..23838] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2018/11/26","whole_genome",3471,"gammaCoV/ck/China/I0347/11|Gallus|China|2011"
"88","MN512437.1","lcl|MN512437.1_cds_QGM12416.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=QGM12416.1] [location=20377..23877] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2019/11/25","whole_genome",3501,"IBV/Ck/Can/18-048430|chicken|Canada|2017"
"89","KX247127.1","lcl|KX247127.1_cds_APW85767.1_2 [gene=S] [protein=spike protein] [protein_id=APW85767.1] [location=20371..23868] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","2017/01/28","whole_genome",3498,"ck/CH/LHB/111190|Gallus gallus|China|2011"
"90","U49858.1","lcl|U49858.1_cds_AAC57073.1_1 [gene=gene 2] [protein=spike protein] [protein_id=AAC57073.1] [location=107..3613] [gbkey=CDS]","11120","Gammacoronavirus","Infectious bronchitis virus","1997/04/30","complete_spike",3507,"CU-T2|Avian infectious bronchitis virus"
